"","Series","1.1) Change in average food costs","1.2) Proportion of population under global poverty line","1.3) Gross domestic product per capita (US$ PPP)","1.4) Agricultural import tariffs","1.5) Presence and quality of food safety net programmes","1.5.1) Presence of food safety-net programmes","1.5.2) Funding for food safety net programmes","1.5.3) Coverage of food safety net programmes","1.5.4) Operation of food safety-net program","1.6) Access to financing for farmers","2.1.1) Average food supply","2.1.2) Change in dependency on chronic food aid","2.2) Public expenditure on agricultural R&D","2.3.1) Existence of adequate crop storage facilities","2.3.2) Road infrastructure","2.3.3) Port infrastructure","2.3.4) Air transport infrastructure","2.3.5) Rail infrastructure","2.3.6) Irrigation infrastructure","2.4) Volatility of agricultural production","2.5) Political stability risk","2.6) Corruption","2.7) Urban absorption capacity","2.8) Food loss","3.1) Dietary diversity","3.2.1) National dietary guidelines","3.2.2) National nutrition plan or strategy","3.2.3) Nutrition monitoring and surveillance","3.3.1) Dietary availability of vitamin A","3.3.2) Dietary availability of iron","3.3.3) Dietary availability of zinc","3.4) Protein quality","3.5.1) Agency to ensure the safety and health of food","3.5.2) Percentage of population with access to potable water","3.5.3) Ability to store food safely","4.1.1) Temperature rise","4.1.2) Drought","4.1.3) Flooding","4.1.4) Storm severity (AAL)","4.1.5) Sea level rise","4.1.6) Commitment to managing exposure","4.2.1) Agricultural water risk—quantity","4.2.2) Agricultural water risk—quality","4.3.1) Land degradation","4.3.2) Grassland","4.3.3) Forest change","4.4.1) Ocean eutrophication","4.4.2) Marine biodiversity","4.4.3) Marine protected areas","4.5.1) Food import dependency","4.5.2) Dependence on natural capital","4.5.3) Disaster risk management","4.6.1) Early warning measures/climate smart ag","4.6.2) National agricultural risk management system","4.7.1) Population growth (2015-20)","4.7.2) Urbanisation (2015-20)"
"11","Benin",116.433591,39.5,2116.1,14.6,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,3,2,1,"n/a",0.04332404,50,3,1.888001555,11.73491924,28,"n/a","n/a","n/a","n/a","n/a","n/a",48.34,"1","67.0172867","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"12","Bolivia",147.528178,5.3,6955.1,12.3,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",1,0,2,1,"n/a",0.128801902,55,3,2.339421265,2.783810644,48,"n/a","n/a","n/a","n/a","n/a","n/a",50.74,"1","92.88162636","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"13","Botswana",127.391556,14.7,16346.7,8.5,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",3,2,3,2,"n/a",0.045769258,30,1,-0.335852802,4.047089049,51,"n/a","n/a","n/a","n/a","n/a","n/a",53.95,"1","79.17398525","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"14","Brazil",162.718151,2.9,15720.4,10.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",1,1,2,1,"n/a",0.021244093,45,3,-3.460954932,7.34660148,66,"n/a","n/a","n/a","n/a","n/a","n/a",77.75,"1","97.49794257","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"15","Bulgaria",111.6301,1.4,18115.9,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",2,2,2,2,"n/a",0.13350987,35,3,2.668412613,9.17186828,57,"n/a","n/a","n/a","n/a","n/a","n/a",57.95,"1","99.25563508","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"16","Burkina Faso",111.744434,32.2,1699.9,14.6,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,0,2,1,"n/a",0.077364722,65,3,-2.228997803,5.337708479,35,"n/a","n/a","n/a","n/a","n/a","n/a",56.86,"0","53.85759552","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"17","Burundi",154.139343,51.5,797,20.2,"n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a",1,1,1,0,"n/a",0.178246953,80,4,-7.334845127,4.362736269,51,"n/a","n/a","n/a","n/a","n/a","n/a",29.59,"0","55.93411981","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"18","Cambodia",127.231749,21.6,3504.4,14.9,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",1,1,1,0,"n/a",0.048505909,70,4,4.551729958,10.74721315,28,"n/a","n/a","n/a","n/a","n/a","n/a",36.39,"1","74.97079565","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"19","Cameroon",111,18.7,3502.4,22.5,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,2,2,1,"n/a",0.021243531,70,4,1.679640041,15.07084075,46,"n/a","n/a","n/a","n/a","n/a","n/a",54.95,"1","65.27996628","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"20","Canada",116.739928,0.3,44500.2,15.9,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,4,3,4,"n/a",0.053647767,5,0,0.395909354,2.810137797,72,"n/a","n/a","n/a","n/a","n/a","n/a",78.22,"1","98.9","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"21","Chad",93.8,30.8,2180.5,21.8,"n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a",1,0,1,0,"n/a",0.238839226,65,4,1.505304369,8.639923754,32,"n/a","n/a","n/a","n/a","n/a","n/a",47.02,"0","42.53760447","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"22","Chile",140.5363,1.3,22783.5,6,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",2,3,3,2,"n/a",0.022276708,20,1,0.81577112,3.820073848,56,"n/a","n/a","n/a","n/a","n/a","n/a",63.58,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"23","China",131.43593,2.1,14770,15.2,"n/a","n/a","n/a","n/a","n/a",3,"n/a","n/a","n/a","n/a",3,3,3,3,"n/a",0.012224091,55,3,3.959911775,4.366814929,48,"n/a","n/a","n/a","n/a","n/a","n/a",69.28,"1","95.81802862","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"24","Colombia",128.119509,4.3,13920.7,14.9,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",1,2,2,1,"n/a",0.069114698,35,2,2.001075362,2.631789872,65,"n/a","n/a","n/a","n/a","n/a","n/a",50.34,"1","96.52202969","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"25","Congo (Dem. Rep.)",122.68595,58,798.7,10.9,"n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a",0,0,0,0,"n/a",0.070804025,75,4,3.039516473,9.054306126,55,"n/a","n/a","n/a","n/a","n/a","n/a",29.77,"0","41.83799362","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"26","Costa Rica",123.013528,1.4,15863,11.3,"n/a","n/a","n/a","n/a","n/a",3,"n/a","n/a","n/a","n/a",2,2,2,1,"n/a",0.013868422,15,1,0.848178062,9.404656261,66,"n/a","n/a","n/a","n/a","n/a","n/a",62.87,"1","99.69781668","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"27","Cote d’Ivoire",114.536266,23.3,3451.6,14.6,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,3,2,1,"n/a",0.040188347,55,3,4.343147194,8.507043173,33,"n/a","n/a","n/a","n/a","n/a","n/a",44.49,"0","73.05741557","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"28","Czech Republic",115.587791,0,33301.8,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,2,3,2,"n/a",0.0611403,30,2,3.023080138,1.357414204,69,"n/a","n/a","n/a","n/a","n/a","n/a",65.81,"1","99.87968019","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"29","Denmark",108.837081,0.2,48630.5,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,4,3,4,"n/a",0.021299008,20,1,0.602095771,2.896923477,71,"n/a","n/a","n/a","n/a","n/a","n/a",80.51,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"30","Dominican Republic",139.928869,2,14262.9,12.7,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",2,3,3,2,"n/a",0.027636164,40,3,3.745293796,3.833562138,68,"n/a","n/a","n/a","n/a","n/a","n/a",44.29,"1","94.4770736","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"31","Ecuador",126.310082,3.3,11351.7,18.3,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",2,1,3,1,"n/a",0.041444644,50,3,-0.864567835,3.498081997,66,"n/a","n/a","n/a","n/a","n/a","n/a",51.75,"1","92.60993222","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"32","Egypt",184.888038,3,11327.7,60.6,"n/a","n/a","n/a","n/a","n/a",3,"n/a","n/a","n/a","n/a",2,4,3,1,"n/a",0.055272578,45,3,1.06278938,6.71957572,35,"n/a","n/a","n/a","n/a","n/a","n/a",66.53,"1","98.35749916","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"33","El Salvador",114.918665,2.4,7478.3,11.8,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",1,2,2,0,"n/a",0.044334768,40,3,1.250921631,2.346785769,51,"n/a","n/a","n/a","n/a","n/a","n/a",53.67,"1","93.01307096","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"34","Ethiopia",226.886331,22.7,1632.6,22.4,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,2,2,2,"n/a",0.038275906,65,3,3.431381596,5.1263713,24,"n/a","n/a","n/a","n/a","n/a","n/a",48.64,"1","39.12426158","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"35","Finland",115.546741,0,42053.7,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",2,4,3,3,"n/a",0.058008054,30,0,-0.522562374,0.397427488,68,"n/a","n/a","n/a","n/a","n/a","n/a",90.13,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"36","France",105.675512,0.1,41907.9,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",4,4,4,4,"n/a",0.042789537,35,1,0.12168182,2.186121935,71,"n/a","n/a","n/a","n/a","n/a","n/a",84.2,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"37","Germany",111.941346,0,47485.6,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,4,4,4,"n/a",0.02808924,20,1,1.729736276,2.235977458,72,"n/a","n/a","n/a","n/a","n/a","n/a",77.71,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"38","Ghana",131.930757,11.1,4181.7,17.2,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,1,2,0,"n/a",0.028431419,35,2,0.361023776,19.18044877,34,"n/a","n/a","n/a","n/a","n/a","n/a",49.38,"1","77.79930236","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"39","Greece",104.831885,1.3,25712.1,12.2,"n/a","n/a","n/a","n/a","n/a",3,"n/a","n/a","n/a","n/a",2,3,2,2,"n/a",0.059591535,35,3,-0.12691002,4.575162667,70,"n/a","n/a","n/a","n/a","n/a","n/a",80.44,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"40","Guatemala",154.17,8.2,7766.9,9.6,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",1,2,3,1,"n/a",0.059371175,45,3,0.983579838,4.183006736,53,"n/a","n/a","n/a","n/a","n/a","n/a",41.85,"1","93.59769747","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"41","Guinea",212.874416,28.4,1866.8,14.3,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",0,0,0,0,"n/a",0.022760574,50,4,-1.99308811,11.64528587,38,"n/a","n/a","n/a","n/a","n/a","n/a",36.77,"0","67.37254732","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"42","Haiti",139.931256,19.2,1760,8.2,"n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a",0,0,0,0,"n/a",0.027163814,55,4,-1.719138381,24.52979144,47,"n/a","n/a","n/a","n/a","n/a","n/a",34.62,"1","64.17431898","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"43","Honduras",126.491972,13.3,4600.1,10.2,"n/a","n/a","n/a","n/a","n/a",1,"n/a","n/a","n/a","n/a",1,3,1,1,"n/a",0.03656073,45,3,0.798540285,3.311123803,53,"n/a","n/a","n/a","n/a","n/a","n/a",50.58,"1","92.17872102","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"44","Hungary",115.69259,0.5,26267.8,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,2,3,2,"n/a",0.110989078,25,2,2.650195388,2.739645637,70,"n/a","n/a","n/a","n/a","n/a","n/a",59.79,"1","99.97125227","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"45","India",102.9874214,19.7,6164,33.4,"n/a","n/a","n/a","n/a","n/a",3,"n/a","n/a","n/a","n/a",1,1,2,1,"n/a",0.041891744,20,3,4.929500336,5.080476915,41,"n/a","n/a","n/a","n/a","n/a","n/a",38.61,"1","87.55914016","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"46","Indonesia",152.991657,9,11135.7,7.5,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",1,1,2,2,"n/a",0.022621489,40,3,2.280873059,5.764404921,30,"n/a","n/a","n/a","n/a","n/a","n/a",38.7,"1","89.52403041","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"47","Ireland",98.226273,0.4,68484.6,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,3,3,2,"n/a",0.071064205,15,1,4.196065421,2.177653903,66,"n/a","n/a","n/a","n/a","n/a","n/a",84.45,"1","98.92163909","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"48","Israel",108.064341,0.5,35902.2,12.3,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,3,3,2,"n/a",0.029939437,35,1,0.755517203,2.019154124,65,"n/a","n/a","n/a","n/a","n/a","n/a",82.87,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"49","Italy",109.140052,1.1,37367.1,12.2,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,2,2,2,"n/a",0.034874008,35,3,-0.756270272,2.287384138,66,"n/a","n/a","n/a","n/a","n/a","n/a",77.7,"1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"50","Japan",107.320962,0,40452.1,14.3,"n/a","n/a","n/a","n/a","n/a",4,"n/a","n/a","n/a","n/a",3,3,3,4,"n/a",0.025774471,15,1,0.100105843,2.523993065,59,"n/a","n/a","n/a","n/a","n/a","n/a",74.84,"1","98.9455414","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"51","Jordan",114.89082,0.4,8636.9,17.4,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",2,2,3,0,"n/a",0.082689797,70,2,0.020280329,6.541135296,52,"n/a","n/a","n/a","n/a","n/a","n/a",52.24,"1","98.56668018","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"52","Kazakhstan",146.98579,0.1,24075.2,11.6,"n/a","n/a","n/a","n/a","n/a",3,"n/a","n/a","n/a","n/a",1,1,3,3,"n/a",0.163625189,70,4,-0.161539716,6.834581337,61,"n/a","n/a","n/a","n/a","n/a","n/a",61.78,"1","91.14559003","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"53","Kenya",179.712812,32.7,3020,20.3,"n/a","n/a","n/a","n/a","n/a",2,"n/a","n/a","n/a","n/a",0,1,1,1,"n/a",0.047425194,55,4,1.078975203,4.639264337,44,"n/a","n/a","n/a","n/a","n/a","n/a",42.57,"1","58.45677672","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
